date,open,high,low,close,atr,long_entry_level,short_entry_level,long_exit_level,short_exit_level,warmup_ready,long_entry_signal,short_entry_signal,entry_signal,audit_action,rejection_reason,raw_lots,capped_lots,stepped_lots,min_lot,max_lots_by_leverage,max_by_position,open_risk_at_min_lot,max_open_risk_dollars,direction
2023-01-25,1937.09,1948.07,1919.8,1946.43,,1942.73,1824.86,1892.23,1942.73,False,True,False,True,rejected,ATR unavailable during warmup,,,,0.01,,,,100.0,long
2023-02-01,1928.62,1954.57,1920.58,1950.15,25.529656250000002,1949.57,1866.83,1900.64,1949.57,True,True,False,True,rejected,volatility-adjusted position size floors below 0.01 minimum lot,0.004896266474406602,0.004896266474406602,0.0,0.01,0.25639053406148243,10.0,51.05931250000003,100.0,long
2023-02-03,1911.79,1918.52,1861.38,1865.83,28.196989765625,1959.68,1892.23,1900.64,1959.68,True,False,True,True,rejected,volatility-adjusted position size floors below 0.01 minimum lot,0.004433097328438503,0.004433097328438503,0.0,0.01,0.2679772540906728,10.0,56.3939795312499,100.0,short
2023-02-15,1854.07,1860.06,1830.5,1836.12,26.455776660345066,1959.68,1843.12,1843.12,1918.52,True,False,True,True,rejected,volatility-adjusted position size floors below 0.01 minimum lot,0.00472486601337863,0.00472486601337863,0.0,0.01,0.27231335642550597,10.0,52.91155332069002,100.0,short
2023-02-24,1822.33,1827.77,1808.87,1811.06,23.82821381156894,1918.52,1817.39,1817.39,1870.17,True,False,True,True,rejected,volatility-adjusted position size floors below 0.01 minimum lot,0.0052458820870287266,0.0052458820870287266,0.0,0.01,0.27608141088644217,10.0,47.656427623137915,100.0,short
2023-03-10,1831.35,1870.12,1827.43,1867.27,23.598142578825115,1858.39,1804.66,1804.66,1858.39,True,True,False,True,rejected,volatility-adjusted position size floors below 0.01 minimum lot,0.005297027068230529,0.005297027068230529,0.0,0.01,0.2677705955753587,10.0,47.19628515765021,100.0,long
2023-03-13,1873.55,1914.57,1871.5,1913.89,24.783235449883858,1870.12,1804.66,1809.32,1870.12,True,True,False,True,rejected,volatility-adjusted position size floors below 0.01 minimum lot,0.005043732092719386,0.005043732092719386,0.0,0.01,0.26124803410854336,10.0,49.56647089976764,100.0,long
2023-03-15,1903.63,1937.25,1885.67,1918.14,25.841244993520185,1914.57,1804.66,1809.32,1914.57,True,True,False,True,rejected,volatility-adjusted position size floors below 0.01 minimum lot,0.004837228238474746,0.004837228238474746,0.0,0.01,0.26066918994442534,10.0,51.682489987040306,100.0,long
2023-03-17,1920.47,1987.84,1918.2,1986.0,28.03539860665196,1937.25,1804.66,1809.32,1937.25,True,True,False,True,rejected,volatility-adjusted position size floors below 0.01 minimum lot,0.00445864893001169,0.00445864893001169,0.0,0.01,0.25176233635448136,10.0,56.07079721330388,100.0,long
2023-04-04,1984.15,2024.94,1976.76,2020.46,31.035003201163043,2009.74,1885.67,1943.89,2003.35,True,True,False,True,rejected,volatility-adjusted position size floors below 0.01 minimum lot,0.004027710233821261,0.004027710233821261,0.0,0.01,0.24746839828553893,10.0,62.07000640232605,100.0,long
2023-04-13,2013.36,2048.62,2013.36,2040.63,29.523661084320885,2032.08,1934.24,1949.73,2032.08,True,True,False,True,rejected,volatility-adjusted position size floors below 0.01 minimum lot,0.004233892254859398,0.004233892254859398,0.0,0.01,0.24502237054243053,10.0,59.04732216864181,100.0,long
2023-05-04,2041.92,2079.08,2030.31,2050.41,30.687385649890626,2048.62,1969.14,1974.05,2039.46,True,True,False,True,rejected,volatility-adjusted position size floors below 0.01 minimum lot,0.00407333493397296,0.00407333493397296,0.0,0.01,0.2438536682907321,10.0,61.37477129978129,100.0,long
2023-05-18,1980.94,1986.03,1951.88,1957.29,28.94324919404018,2079.08,1974.07,1974.98,2048.21,True,False,True,True,rejected,volatility-adjusted position size floors below 0.01 minimum lot,0.004318796385367101,0.004318796385367101,0.0,0.01,0.25545524679531395,10.0,57.886498388080334,100.0,short
2023-05-25,1957.43,1964.82,1938.77,1940.54,27.930424230035534,2079.08,1951.88,1951.88,2022.15,True,False,True,True,rejected,volatility-adjusted position size floors below 0.01 minimum lot,0.0044754064231354845,0.0044754064231354845,0.0,0.01,0.2576602389025735,10.0,55.86084846007111,100.0,short
2023-06-22,1931.59,1934.93,1912.35,1913.2,24.762240033812965,1983.4,1919.08,1919.08,1971.07,True,False,True,True,rejected,volatility-adjusted position size floors below 0.01 minimum lot,0.005048008573913825,0.005048008573913825,0.0,0.01,0.2613422538155969,10.0,49.52448006762597,100.0,short
2023-06-28,1913.2,1917.19,1902.78,1906.77,23.529060021540882,1972.96,1910.08,1910.08,1967.84,True,False,True,True,rejected,volatility-adjusted position size floors below 0.01 minimum lot,0.005312579418198703,0.005312579418198703,0.0,0.01,0.26222355082154636,10.0,47.05812004308177,100.0,short
2023-07-12,1932.01,1959.43,1931.92,1957.39,22.219377900605508,1939.47,1892.94,1900.5,1938.17,True,True,False,True,rejected,volatility-adjusted position size floors below 0.01 minimum lot,0.0056257200610730675,0.0056257200610730675,0.0,0.01,0.25544219598547047,10.0,44.43875580121107,100.0,long
2023-07-13,1956.99,1963.4,1952.11,1960.12,21.672909005575242,1959.43,1892.94,1902.59,1959.43,True,True,False,True,rejected,volatility-adjusted position size floors below 0.01 minimum lot,0.005767569086726863,0.005767569086726863,0.0,0.01,0.2550864232802073,10.0,43.34581801115041,100.0,long
2023-07-18,1954.49,1984.1,1954.36,1978.75,21.31929535865506,1963.55,1892.94,1902.59,1963.55,True,True,False,True,rejected,volatility-adjusted position size floors below 0.01 minimum lot,0.005863233183701512,0.005863233183701512,0.0,0.01,0.2526847757422615,10.0,42.63859071731008,100.0,long
2023-08-08,1936.39,1938.01,1922.62,1924.68,19.982964130923044,1987.2,1925.6,1925.6,1981.85,True,False,True,True,rejected,volatility-adjusted position size floors below 0.01 minimum lot,0.00625532824765302,0.00625532824765302,0.0,0.01,0.2597834445206476,10.0,39.9659282618461,100.0,short
2023-08-09,1924.98,1932.24,1913.87,1914.42,19.9023159243769,1987.2,1922.62,1922.62,1972.09,True,False,True,True,rejected,volatility-adjusted position size floors below 0.01 minimum lot,0.006280676101965429,0.006280676101965429,0.0,0.01,0.26117570856969735,10.0,39.80463184875384,100.0,short
2023-08-10,1914.66,1930.02,1911.8,1912.27,19.818200128158058,1987.2,1913.87,1913.87,1972.09,True,False,True,True,rejected,volatility-adjusted position size floors below 0.01 minimum lot,0.006307333622209099,0.006307333622209099,0.0,0.01,0.2614693531771141,10.0,39.636400256316165,100.0,short
2023-08-14,1911.21,1916.17,1902.68,1907.15,19.05632561566265,1981.85,1910.31,1910.31,1954.5,True,False,True,True,rejected,volatility-adjusted position size floors below 0.01 minimum lot,0.00655950168574265,0.00655950168574265,0.0,0.01,0.26217130272920325,10.0,38.112651231325344,100.0,short
2023-08-15,1907.17,1911.52,1895.96,1901.64,18.881509334879517,1981.85,1902.68,1902.68,1946.67,True,False,True,True,rejected,volatility-adjusted position size floors below 0.01 minimum lot,0.006620233466669396,0.006620233466669396,0.0,0.01,0.26293094381691595,10.0,37.76301866975905,100.0,short
2023-08-16,1901.54,1907.13,1891.75,1892.39,18.706433868135548,1981.85,1895.96,1895.96,1946.67,True,False,True,True,rejected,volatility-adjusted position size floors below 0.01 minimum lot,0.006682192922560426,0.006682192922560426,0.0,0.01,0.2642161499479494,10.0,37.41286773627121,100.0,short
2023-08-17,1891.65,1903.34,1884.9,1888.95,18.69311217472876,1981.85,1891.75,1891.75,1946.56,True,False,True,True,rejected,volatility-adjusted position size floors below 0.01 minimum lot,0.006686955004153222,0.006686955004153222,0.0,0.01,0.2646973186161624,10.0,37.38622434945751,100.0,short
2023-08-30,1937.11,1948.95,1934.95,1942.39,18.281142583558218,1938.15,1876.22,1876.22,1938.15,True,True,False,True,rejected,volatility-adjusted position size floors below 0.01 minimum lot,0.006837647014056064,0.006837647014056064,0.0,0.01,0.2574148343020712,10.0,36.56228516711644,100.0,long
2023-09-26,1916.13,1916.7,1899.04,1900.31,15.37079732850658,1947.34,1900.94,1900.94,1947.34,True,False,True,True,rejected,volatility-adjusted position size floors below 0.01 minimum lot,0.008132304221341584,0.008132304221341584,0.0,0.01,0.26311496545300506,10.0,30.741594657013138,100.0,short
2023-09-27,1900.72,1903.93,1872.49,1875.09,16.174257462081254,1947.34,1899.04,1899.04,1947.34,True,False,True,True,rejected,volatility-adjusted position size floors below 0.01 minimum lot,0.007728330051197007,0.007728330051197007,0.0,0.01,0.2666538672810372,10.0,32.3485149241626,100.0,short
2023-09-28,1876.52,1879.51,1857.61,1865.33,16.460544588977196,1947.34,1872.49,1872.49,1947.34,True,False,True,True,rejected,volatility-adjusted position size floors below 0.01 minimum lot,0.0075939164299403715,0.0075939164299403715,0.0,0.01,0.26804908514847237,10.0,32.9210891779544,100.0,short
2023-09-29,1865.01,1879.82,1846.28,1848.96,17.314517359528335,1947.34,1857.61,1857.61,1947.34,True,False,True,True,rejected,volatility-adjusted position size floors below 0.01 minimum lot,0.007219375360250015,0.007219375360250015,0.0,0.01,0.2704222914503288,10.0,34.62903471905656,100.0,short
2023-10-02,1847.35,1848.85,1827.11,1828.06,17.541291491551924,1947.34,1846.28,1846.28,1947.34,True,False,True,True,rejected,volatility-adjusted position size floors below 0.01 minimum lot,0.007126043145694338,0.007126043145694338,0.0,0.01,0.2735139984464405,10.0,35.08258298310375,100.0,short
2023-10-03,1829.05,1833.33,1815.2,1823.23,17.570726916974323,1947.34,1827.11,1827.11,1931.44,True,False,True,True,rejected,volatility-adjusted position size floors below 0.01 minimum lot,0.0071141052154901395,0.0071141052154901395,0.0,0.01,0.27423857659209205,10.0,35.14145383394862,100.0,short
2023-10-13,1869.18,1930.74,1869.17,1930.09,20.263125302596066,1929.08,1810.41,1810.41,1884.93,True,True,False,True,rejected,volatility-adjusted position size floors below 0.01 minimum lot,0.006168841091062359,0.006168841091062359,0.0,0.01,0.25905527721505217,10.0,40.52625060519222,100.0,long
2023-10-18,1923.38,1962.59,1923.34,1947.79,21.257918306313304,1931.56,1810.41,1810.41,1931.56,True,True,False,True,rejected,volatility-adjusted position size floors below 0.01 minimum lot,0.005880161838935883,0.005880161838935883,0.0,0.01,0.2567011844192649,10.0,42.51583661262657,100.0,long
2023-10-19,1947.48,1977.67,1945.17,1974.19,21.82002239099764,1962.59,1810.41,1844.16,1962.59,True,True,False,True,rejected,volatility-adjusted position size floors below 0.01 minimum lot,0.005728683397298972,0.005728683397298972,0.0,0.01,0.2532684290772418,10.0,43.64004478199536,100.0,long
2023-10-20,1973.08,1997.15,1971.99,1980.26,21.987021271447762,1977.67,1810.41,1852.93,1977.67,True,True,False,True,rejected,volatility-adjusted position size floors below 0.01 minimum lot,0.0056851721047964055,0.0056851721047964055,0.0,0.01,0.25249209699736397,10.0,43.97404254289563,100.0,long
2023-10-27,1983.75,2009.3,1976.79,2005.53,22.6789343166283,1997.15,1810.41,1912.33,1997.15,True,True,False,True,rejected,volatility-adjusted position size floors below 0.01 minimum lot,0.005511722828543553,0.005511722828543553,0.0,0.01,0.24931065603606029,10.0,45.35786863325666,100.0,long
2023-11-10,1958.15,1960.72,1932.98,1937.68,22.074061848876184,2009.3,1944.68,1944.68,2007.86,True,False,True,True,rejected,volatility-adjusted position size floors below 0.01 minimum lot,0.005662754814033643,0.005662754814033643,0.0,0.01,0.258040543330168,10.0,44.14812369775245,100.0,short
2023-11-27,2001.17,2017.92,2000.37,2014.04,24.99671698129415,2007.51,1918.92,1955.36,2007.51,True,True,False,True,rejected,volatility-adjusted position size floors below 0.01 minimum lot,0.005000656689978189,0.005000656689978189,0.0,0.01,0.24825723421580506,10.0,49.99343396258837,100.0,long
2023-11-28,2012.96,2042.97,2011.64,2041.11,25.313381132229438,2017.92,1918.92,1956.4,2017.92,True,True,False,True,rejected,volatility-adjusted position size floors below 0.01 minimum lot,0.004938099708886689,0.004938099708886689,0.0,0.01,0.2449647495725365,10.0,50.62676226445888,100.0,long
2023-11-29,2040.93,2051.97,2035.28,2044.01,24.882212075617957,2042.97,1918.92,1965.4,2042.97,True,True,False,True,rejected,volatility-adjusted position size floors below 0.01 minimum lot,0.005023669102253465,0.005023669102253465,0.0,0.01,0.24461719854599537,10.0,49.76442415123597,100.0,long
2023-12-01,2037.5,2075.31,2033.85,2071.22,25.2868213982452,2051.97,1918.92,1968.23,2051.97,True,True,False,True,rejected,volatility-adjusted position size floors below 0.01 minimum lot,0.004943286387456927,0.004943286387456927,0.0,0.01,0.24140361719180004,10.0,50.5736427964905,100.0,long
2023-12-27,2067.63,2084.37,2061.41,2077.16,27.154591659502252,2070.54,1972.98,2015.53,2070.54,True,True,False,True,rejected,volatility-adjusted position size floors below 0.01 minimum lot,0.00460327305110694,0.00460327305110694,0.0,0.01,0.24071328159602534,10.0,54.30918331900444,100.0,long
2024-01-17,2027.59,2032.9,2001.74,2006.25,27.68136777611837,2088.39,2013.2,2013.2,2063.88,True,False,True,True,rejected,volatility-adjusted position size floors below 0.01 minimum lot,0.004515672816855589,0.004515672816855589,0.0,0.01,0.24922118380062305,10.0,55.3627355522367,100.0,short
2024-02-13,2019.65,2029.81,1990.03,1992.84,24.037934434961137,2065.36,2009.24,2011.78,2065.36,True,False,True,True,rejected,volatility-adjusted position size floors below 0.01 minimum lot,0.005200114025529502,0.005200114025529502,0.0,0.01,0.2508982156118906,10.0,48.07586886992226,100.0,short
2024-02-29,2035.22,2050.72,2028.04,2043.82,20.79368965223519,2041.3,1984.19,2001.3,2041.3,True,True,False,True,rejected,volatility-adjusted position size floors below 0.01 minimum lot,0.0060114391476725395,0.0060114391476725395,0.0,0.01,0.24463993893787125,10.0,41.58737930447046,100.0,long
2024-03-01,2043.32,2088.25,2038.97,2083.41,22.21800516962343,2050.72,1984.19,2014.92,2050.72,True,True,False,True,rejected,volatility-adjusted position size floors below 0.01 minimum lot,0.005626067644043068,0.005626067644043068,0.0,0.01,0.23999116832500564,10.0,44.43601033924688,100.0,long
2024-03-04,2082.83,2119.84,2079.4,2114.9,23.129104911142264,2088.25,1984.19,2015.98,2088.25,True,True,False,True,rejected,volatility-adjusted position size floors below 0.01 minimum lot,0.005404446063962564,0.005404446063962564,0.0,0.01,0.2364177975317982,10.0,46.2582098222847,100.0,long
2024-03-05,2114.02,2141.74,2110.39,2127.69,23.540149665585147,2119.84,1984.19,2015.98,2119.84,True,True,False,True,rejected,volatility-adjusted position size floors below 0.01 minimum lot,0.005310076689221118,0.005310076689221118,0.0,0.01,0.23499663954805447,10.0,47.08029933117041,100.0,long
2024-03-06,2127.43,2152.14,2123.63,2148.38,23.78864218230588,2141.74,1984.19,2015.98,2141.74,True,True,False,True,rejected,volatility-adjusted position size floors below 0.01 minimum lot,0.00525460844053452,0.00525460844053452,0.0,0.01,0.2327335015220771,10.0,47.57728436461184,100.0,long
2024-03-07,2147.66,2164.6,2144.09,2159.54,23.624710073190574,2152.14,1990.09,2024.42,2152.14,True,True,False,True,rejected,volatility-adjusted position size floors below 0.01 minimum lot,0.00529107022320035,0.00529107022320035,0.0,0.01,0.23153078896431648,10.0,47.249420146381,100.0,long
2024-03-08,2158.92,2195.1,2153.92,2178.71,24.50247456953104,2164.6,1995.02,2024.42,2164.6,True,True,False,True,rejected,volatility-adjusted position size floors below 0.01 minimum lot,0.005101525547768069,0.005101525547768069,0.0,0.01,0.22949359942351208,10.0,49.004949139061864,100.0,long
2024-03-28,2191.97,2236.14,2187.32,2232.68,26.952756001636555,2222.76,2144.09,2146.01,2222.76,True,True,False,True,rejected,volatility-adjusted position size floors below 0.01 minimum lot,0.004637744651879388,0.004637744651879388,0.0,0.01,0.22394610960818392,10.0,53.905512003273095,100.0,long
2024-04-01,2239.33,2265.62,2228.46,2249.64,27.46311820155472,2236.14,2146.01,2147.09,2236.14,True,True,False,True,rejected,volatility-adjusted position size floors below 0.01 minimum lot,0.004551558897376904,0.004551558897376904,0.0,0.01,0.22225778346757705,10.0,54.92623640310968,100.0,long
2024-04-02,2249.73,2281.0,2246.65,2280.09,27.80746229147698,2265.62,2146.01,2149.55,2265.62,True,True,False,True,rejected,volatility-adjusted position size floors below 0.01 minimum lot,0.004495196242280355,0.004495196242280355,0.0,0.01,0.21928958944603064,10.0,55.6149245829538,100.0,long
2024-04-03,2281.41,2300.14,2265.47,2300.05,28.150589176903132,2281.0,2146.01,2157.1,2281.0,True,True,False,True,rejected,volatility-adjusted position size floors below 0.01 minimum lot,0.004440404398447171,0.004440404398447171,0.0,0.01,0.21738657855264013,10.0,56.301178353806336,100.0,long
2024-04-05,2291.73,2330.41,2267.7,2328.4,29.768806732155088,2305.51,2146.01,2163.54,2305.51,True,True,False,True,rejected,volatility-adjusted position size floors below 0.01 minimum lot,0.0041990262197839434,0.0041990262197839434,0.0,0.01,0.21473973544064592,10.0,59.537613464310205,100.0,long
2024-04-08,2327.75,2353.83,2302.82,2338.51,30.83086639554732,2330.41,2146.01,2167.55,2330.41,True,True,False,True,rejected,volatility-adjusted position size floors below 0.01 minimum lot,0.004054378439979645,0.004054378439979645,0.0,0.01,0.2138113585146097,10.0,61.66173279109444,100.0,long
2024-04-11,2334.3,2377.61,2325.67,2374.71,32.228599075882386,2365.25,2149.55,2228.46,2365.25,True,True,False,True,rejected,volatility-adjusted position size floors below 0.01 minimum lot,0.0038785427720791376,0.0038785427720791376,0.0,0.01,0.21055202529993136,10.0,64.45719815176471,100.0,long
2024-04-30,2335.98,2336.27,2285.08,2285.83,37.771053784744616,2431.41,2291.37,2291.37,2417.79,True,False,True,True,rejected,volatility-adjusted position size floors below 0.01 minimum lot,0.0033094125653038136,0.0033094125653038136,0.0,0.01,0.21873892634185393,10.0,75.54210756948942,100.0,short
2024-05-15,2357.18,2390.21,2351.83,2387.27,36.05945117490495,2378.36,2277.29,2277.29,2378.36,True,True,False,True,rejected,volatility-adjusted position size floors below 0.01 minimum lot,0.0034664975735124864,0.0034664975735124864,0.0,0.01,0.20944426059892682,10.0,72.11890234981001,100.0,long
2024-05-17,2378.02,2422.67,2373.91,2414.39,36.23280468535171,2397.24,2277.29,2303.61,2397.24,True,True,False,True,rejected,volatility-adjusted position size floors below 0.01 minimum lot,0.0034499123400881884,0.0034499123400881884,0.0,0.01,0.20709164633717006,10.0,72.46560937070353,100.0,long
2024-05-20,2425.17,2449.99,2407.31,2425.06,36.55516445108411,2422.67,2277.29,2303.61,2422.67,True,True,False,True,rejected,volatility-adjusted position size floors below 0.01 minimum lot,0.003419489472336183,0.003419489472336183,0.0,0.01,0.2061804656379636,10.0,73.11032890216802,100.0,long
2024-06-07,2376.32,2387.63,2286.71,2292.93,38.21914789532726,2449.99,2314.71,2314.71,2378.47,True,False,True,True,rejected,volatility-adjusted position size floors below 0.01 minimum lot,0.003270611902241879,0.003270611902241879,0.0,0.01,0.21806160676514333,10.0,76.43829579065459,100.0,short
2024-07-05,2356.79,2392.82,2350.9,2390.92,31.270533911182135,2368.65,2293.57,2293.57,2364.88,True,True,False,True,rejected,volatility-adjusted position size floors below 0.01 minimum lot,0.003997373385278236,0.003997373385278236,0.0,0.01,0.20912452110484667,10.0,62.54106782236432,100.0,long
2024-07-11,2371.82,2424.48,2371.1,2414.21,31.973295186494795,2392.82,2293.57,2318.45,2392.82,True,True,False,True,rejected,volatility-adjusted position size floors below 0.01 minimum lot,0.003909512587642164,0.003909512587642164,0.0,0.01,0.2071070867902958,10.0,63.94659037298971,100.0,long
2024-07-16,2421.94,2469.59,2419.97,2468.77,32.92640896052096,2439.62,2293.57,2349.36,2439.62,True,True,False,True,rejected,volatility-adjusted position size floors below 0.01 minimum lot,0.003796344756267714,0.003796344756267714,0.0,0.01,0.2025300048202141,10.0,65.85281792104206,100.0,long
2024-08-16,2455.82,2509.67,2450.66,2506.95,38.74734629540835,2479.74,2355.74,2378.98,2479.74,True,True,False,True,rejected,volatility-adjusted position size floors below 0.01 minimum lot,0.0032260273786752927,0.0032260273786752927,0.0,0.01,0.19944554139492213,10.0,77.49469259081661,100.0,long
2024-08-20,2503.65,2531.58,2497.27,2514.04,37.72333003160601,2509.67,2364.27,2380.94,2509.67,True,True,False,True,rejected,volatility-adjusted position size floors below 0.01 minimum lot,0.0033135993003605554,0.0033135993003605554,0.0,0.01,0.19888307266391944,10.0,75.44666006321222,100.0,long
2024-09-12,2512.26,2560.0,2510.96,2558.98,33.29831319411355,2529.08,2470.7,2471.8,2529.08,True,True,False,True,rejected,volatility-adjusted position size floors below 0.01 minimum lot,0.0037539439091496506,0.0037539439091496506,0.0,0.01,0.19539035084291398,10.0,66.59662638822692,100.0,long
2024-09-13,2558.27,2585.97,2556.59,2579.22,33.10239753440785,2560.0,2471.8,2471.8,2560.0,True,True,False,True,rejected,volatility-adjusted position size floors below 0.01 minimum lot,0.0037761615263689104,0.0037761615263689104,0.0,0.01,0.19385705756003754,10.0,66.20479506881566,100.0,long
2024-09-20,2586.36,2625.7,2584.74,2621.88,33.85559931954679,2600.09,2471.8,2500.07,2600.09,True,True,False,True,rejected,volatility-adjusted position size floors below 0.01 minimum lot,0.0036921514465062294,0.0036921514465062294,0.0,0.01,0.19070285444032525,10.0,67.71119863909371,100.0,long
2024-09-23,2620.98,2634.81,2613.81,2628.34,33.21281935356945,2625.7,2471.8,2500.81,2625.7,True,True,False,True,rejected,volatility-adjusted position size floors below 0.01 minimum lot,0.0037636070177994685,0.0037636070177994685,0.0,0.01,0.19023414017973322,10.0,66.42563870713911,100.0,long
2024-09-24,2626.95,2664.25,2622.56,2656.9,33.63667838589098,2634.81,2471.8,2510.96,2634.81,True,True,False,True,rejected,volatility-adjusted position size floors below 0.01 minimum lot,0.003716181442351682,0.003716181442351682,0.0,0.01,0.18818924310286425,10.0,67.27335677178189,100.0,long
2024-09-26,2658.01,2685.51,2654.77,2671.96,32.886377243266615,2670.48,2485.07,2546.74,2670.48,True,True,False,True,rejected,volatility-adjusted position size floors below 0.01 minimum lot,0.003800965946335526,0.003800965946335526,0.0,0.01,0.18712854982859026,10.0,65.77275448653336,100.0,long
2024-10-17,2674.49,2696.67,2673.08,2692.63,31.18402696083218,2685.51,2602.4,2602.4,2685.31,True,True,False,True,rejected,volatility-adjusted position size floors below 0.01 minimum lot,0.00400846241433163,0.00400846241433163,0.0,0.01,0.18569205572247208,10.0,62.36805392166435,100.0,long
2024-10-18,2692.94,2722.42,2692.23,2722.03,31.134325612790576,2696.67,2602.4,2602.4,2696.67,True,True,False,True,rejected,volatility-adjusted position size floors below 0.01 minimum lot,0.004014861331977835,0.004014861331977835,0.0,0.01,0.18368643989963374,10.0,62.26865122558093,100.0,long
2024-10-22,2719.24,2748.79,2719.05,2748.42,30.840203865543476,2740.52,2602.4,2602.4,2740.52,True,True,False,True,rejected,volatility-adjusted position size floors below 0.01 minimum lot,0.004053150898255167,0.004053150898255167,0.0,0.01,0.18192270468123503,10.0,61.68040773108715,100.0,long
